,PLZ,Longitude,Latitude
0,10115,13.384607458757577,52.53225310749616
1,10117,13.38722234829472,52.516965560388
2,10119,13.405320915304019,52.53047717452423
3,10178,13.409628466424998,52.52131243046372
4,10179,13.416335442222064,52.51219339888968
5,10243,13.439382729365533,52.51230622328652
6,10245,13.464755384582356,52.50065849625331
7,10247,13.46555361594058,52.516159537561606
8,10249,13.442772448085373,52.52376255730941
9,10315,13.514764286811292,52.51322993265686
10,10317,13.490766865201651,52.49790145501775
11,10318,13.52868724331732,52.48348496684792
12,10319,13.51880237290777,52.499193681905616
13,10365,13.496861997511203,52.52061304615122
14,10367,13.482099234822453,52.5246228538931
15,10369,13.46944982046535,52.529475650969495
16,10405,13.42570376752267,52.535182312912546
17,10407,13.449170806424025,52.53360703864684
18,10409,13.441357051572137,52.54431847498743
19,10435,13.411186295587143,52.53776375845449
20,10437,13.412580850688249,52.544853189822
21,10439,13.412114584540683,52.55215950650852
22,10551,13.337163496142006,52.530720056080916
23,10553,13.321465483262193,52.5305064491924
24,10555,13.33545705220396,52.52153170911194
25,10557,13.35943703868717,52.52332350552952
26,10559,13.349920246972744,52.53012311902867
27,10585,13.305687562670663,52.51519648047775
28,10587,13.319516472927122,52.51844731471893
29,10589,13.305709015285817,52.527550277121854
30,10623,13.327363836111795,52.50882403120826
31,10625,13.314686440987971,52.50945814402798
32,10627,13.302995552558253,52.50798435303231
33,10629,13.308587338266317,52.502795190278626
34,10707,13.313752951601778,52.49665671691031
35,10709,13.303116608927256,52.49388187834184
36,10711,13.290451365138114,52.49812112980343
37,10713,13.3132725311462,52.4850887035849
38,10715,13.328877316645858,52.48244496141088
39,10717,13.327547835159514,52.490797857138496
40,10719,13.325678619451482,52.49884625285831
41,10777,13.342702106333128,52.49745514955069
42,10779,13.339475392967456,52.492111831434606
43,10781,13.352914193132012,52.4935684258165
44,10783,13.36237019394093,52.4964239900215
45,10785,13.36424990258966,52.507309547686845
46,10787,13.34386932460584,52.50777991902037
47,10789,13.337703334254424,52.50166742652484
48,10823,13.350881278556777,52.487308839107946
49,10825,13.341243634796259,52.483759578982635
50,10827,13.354257774407076,52.48377647229864
51,10829,13.360796518251403,52.47618810975703
52,10961,13.39747069383011,52.49262275989204
53,10963,13.381258333215879,52.50016090220396
54,10965,13.39488499701448,52.485375215726236
55,10967,13.416415039260794,52.49050264888512
56,10969,13.401131913828474,52.5024880493976
57,10997,13.43555805758727,52.50092154478418
58,10999,13.426558517079119,52.49691730607814
59,12043,13.437059652549424,52.47989834134753
60,12045,13.4392318279728,52.48546376140066
61,12047,13.428474510622515,52.49052454933148
62,12049,13.422009717649571,52.476348668074564
63,12051,13.42987658460868,52.46690101284063
64,12053,13.432528934707053,52.476838288722455
65,12055,13.448598746173031,52.471208546855706
66,12057,13.463283331971413,52.46839875771354
67,12059,13.451286098618839,52.48091987610456
68,12099,13.4023349994847,52.46440180369397
69,12101,13.379067939668047,52.47849483618643
70,12103,13.374691679393424,52.46405527434142
71,12105,13.371378239048981,52.4492182341782
72,12107,13.39169561926881,52.4312233429101
73,12109,13.399354742820034,52.446437669268846
74,12157,13.346192882606559,52.46531937874084
75,12159,13.33691777492158,52.47367758592234
76,12161,13.326968406690545,52.470378554493706
77,12163,13.31845865212027,52.462641233568114
78,12165,13.314838153232584,52.455665181867445
79,12167,13.333792145887184,52.44859425042259
80,12169,13.343532831550357,52.45479056786636
81,12203,13.309548541854562,52.4443763196241
82,12205,13.29452340895023,52.43397281284941
83,12207,13.313201465002296,52.41988650094883
84,12209,13.329097359700793,52.41791658317226
85,12247,13.346216565231918,52.43947485499027
86,12249,13.351813165344238,52.42636551712031
87,12277,13.375032628919524,52.41339546957715
88,12279,13.353053044314894,52.410626611040534
89,12305,13.402072797096357,52.40326994732729
90,12307,13.390696838216329,52.388629911251684
91,12309,13.417145044045018,52.39048701051443
92,12347,13.428134102720877,52.450870338262156
93,12349,13.422080228855206,52.42525449703233
94,12351,13.455512684667102,52.43275828308654
95,12353,13.458921988798815,52.42273774313897
96,12355,13.497828066401619,52.41099140301207
97,12357,13.490523118452181,52.42930017882094
98,12359,13.453134536462507,52.44733396802487
99,12435,13.467183898610612,52.48655920688828
100,12437,13.48168105737062,52.46239586702063
101,12459,13.528082371587278,52.46556876524206
102,12487,13.505149578645996,52.443705865252674
103,12489,13.543153325823347,52.43560426111443
104,12524,13.541654222271243,52.412832884792735
105,12526,13.564209625978904,52.397638858747065
106,12527,13.633882041175635,52.38562496072207
107,12555,13.579098294658408,52.46267360803515
108,12557,13.59175495071152,52.430343521801944
109,12559,13.663272947067718,52.41489702770125
110,12587,13.636164296385875,52.458611027802064
111,12589,13.703360765641127,52.4438132942781
112,12619,13.58829149686148,52.52348896949066
113,12621,13.587807754058906,52.50272614501193
114,12623,13.616493890819186,52.502591371726446
115,12627,13.613493972069534,52.53722540813074
116,12629,13.590114893983868,52.54131146630923
117,12679,13.565985347868985,52.550137779217394
118,12681,13.536691577327467,52.53690378944878
119,12683,13.559059198265544,52.50751934032599
120,12685,13.565008324791537,52.53908677744801
121,12687,13.564473457443823,52.55641340047163
122,12689,13.56751600687462,52.566476173013776
123,13051,13.490844938375092,52.581510242877
124,13053,13.504599687469637,52.550014431889664
125,13055,13.495996562275451,52.540085051396055
126,13057,13.541474255141146,52.57105312774011
127,13059,13.521691039944386,52.58085224331766
128,13086,13.448184825048454,52.556479096011834
129,13088,13.470798827594919,52.560323494890454
130,13089,13.44099736024904,52.57068024201811
131,13125,13.482939796838133,52.63285914727104
132,13127,13.43803639424625,52.619999928293986
133,13129,13.457927558520657,52.59205784915984
134,13156,13.399679345417574,52.58235941503544
135,13158,13.383482175401902,52.59319891839218
136,13159,13.39781930738672,52.622980185622865
137,13187,13.408406728535377,52.569544289010025
138,13189,13.421922791184404,52.56428133261613
139,13347,13.365455385862616,52.54906035716649
140,13349,13.347338321717679,52.55798834244686
141,13351,13.33282903404662,52.55065264364231
142,13353,13.349493150452554,52.54159282020101
143,13355,13.390584510139545,52.54177403402419
144,13357,13.382545290564279,52.55025478348207
145,13359,13.38508861070656,52.55987577586028
146,13403,13.322394750985106,52.57390962656044
147,13405,13.296715655546139,52.55956271601847
148,13407,13.351152712066776,52.5726565884841
149,13409,13.37136141499762,52.567874990707
150,13435,13.345583555610988,52.602047574882135
151,13437,13.328433400733003,52.5904606987358
152,13439,13.35836552281583,52.597633923946645
153,13465,13.289551932921368,52.639894021363325
154,13467,13.307476993839325,52.61710500376173
155,13469,13.34217007480002,52.611886124665894
156,13503,13.248754734738577,52.61216227960929
157,13505,13.240436851292232,52.5839010321919
158,13507,13.271706478682745,52.576502619970846
159,13509,13.300585116675384,52.589187536239734
160,13581,13.179372234866618,52.53102430675617
161,13583,13.182353354198945,52.54365970632263
162,13585,13.204912806155,52.54772720782926
163,13587,13.185425730622057,52.57671807096514
164,13589,13.167559316007088,52.55702798271659
165,13591,13.140451047305051,52.53446995910025
166,13593,13.167205216173901,52.51482610221952
167,13595,13.19622459336038,52.51161478298646
168,13597,13.219494683751504,52.52724736599811
169,13599,13.23500664599951,52.54629375977735
170,13627,13.299091755015624,52.53982806674212
171,13629,13.266121838408706,52.54217370067193
172,14050,13.268338227370933,52.52082672608213
173,14052,13.256858799554047,52.51558920656036
174,14053,13.238696178740382,52.515905226931764
175,14193,13.236512191039548,52.48312900126494
176,14057,13.287913704517218,52.507250172456125
177,14059,13.287773930793634,52.52052390612372
178,14089,13.151643265502072,52.47078498219171
179,14109,13.143986703427162,52.41973521998986
180,14129,13.202578358463798,52.446286478934425
181,14163,13.238505101240266,52.43683095261234
182,14165,13.253558879540764,52.41751915632142
183,14167,13.276466893449365,52.42117084955016
184,14169,13.257318230890549,52.44961801437708
185,14193,13.236512191039548,52.48312900126494
186,14195,13.282867034390405,52.458882967786316
187,14197,13.311789699628607,52.47335862767753
188,14199,13.29507096395517,52.477661074858325
189,12439,13.528644321780456,52.45277028153434
190,14055,13.244731875810201,52.501950954930614
191,15537,13.687388529541318,52.38570793162978
192,15566,13.705366666666666,52.459782999999995
193,15569,13.756057865644234,52.445953729962476
